general_admissions,pneumonia_admissions,percentage
16517,387,0.0234304050372343
15840,339,0.0214015151515151
20257,441,0.0217702522584785
18985,382,0.0201211482749539
18545,389,0.0209760043138312
18712,366,0.0195596408721675
18344,404,0.0220235499345835
16315,355,0.0217591173766472
15768,360,0.0228310502283105
21767,434,0.0199384389213028
21345,392,0.0183649566643241
20629,364,0.0176450627757041
20873,390,0.0186844248550759
19492,349,0.0179047814487995
16565,300,0.0181104738907334
17074,304,0.0178048494787396
23618,372,0.0157506986196968
22253,364,0.0163573450770682
21782,343,0.0157469470204756
21697,336,0.0154860118910448
20436,386,0.0188882364454883
16935,300,0.0177147918511957
17419,321,0.018428153166083
25612,393,0.0153443698266437
24975,390,0.0156156156156156
23033,428,0.0185820344722789
18477,351,0.0189965903555772
21922,427,0.01947814980385
18893,375,0.0198486211824485
